Country,Feb. 24 cases ,Feb. 25 cases ,Feb. 26 cases ,Feb. 27 cases ,Feb. 28 cases ,Feb. 29 cases ,Mar. 01 cases ,Mar. 02 cases ,Mar. 03 cases ,Mar. 04 cases ,Mar. 05 cases ,Mar. 06 cases,Mar. 07 cases,Mar. 09 cases,,T.D. Feb. 24,T.D. Feb. 25,T.D. Feb. 26,T.D. Feb. 27,T.D. Feb. 28,T.D. Feb. 29,T.D. Mar. 01,T.D. Mar. 02,T.D. Mar. 03,T.D. Mar. 04,T.D. Mar. 05,T.D. Mar. 06,T.D. Mar. 07,T.D. Mar. 09,,T.Recov. Feb. 26,T.Recov. Feb. 29,T.Recov. Mar. 02,T.Recov. Mar. 05,T.Recov. Mar. 07,T.Recov. Mar. 09
Afghanistan,1,1,1,1,1,1,1,1,1,1,1,1,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Algeria,0,1,1,1,1,1,1,3,5,8,17,17,19,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,1,1,2,8,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Australia,22,22,23,23,23,25,25,29,39,42,52,60,64,93,,0,0,0,0,0,0,1,1,1,1,2,2,2,3,,15,15,15,21,22,22
Austria,0,2,2,3,5,6,10,14,21,27,37,47,74,112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2
Azerbaijan,0,0,0,0,0,1,3,3,3,3,3,6,9,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bahrain,2,8,26,33,33,38,41,47,49,49,52,55,60,85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,4,14
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Belarus,0,0,0,0,0,1,1,1,1,6,6,6,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Belgium,1,1,1,1,1,1,2,2,13,15,23,50,109,200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,1,1,1
Bhutan,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,2,2,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Brazil,0,1,1,1,1,1,2,2,2,2,3,8,14,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Cambodia,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1
Cameroon,0,0,0,0,0,0,0,0,0,0,0,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Canada,10,11,12,12,15,16,20,24,27,33,34,48,54,67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,7,8,8
Chile,0,0,0,0,0,0,0,0,0,1,3,4,5,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
China,"77,345","77,663","78,073","78,514","78,832","79,252","79,827","80,026","80,152","80,282","80,430","80,559","80,651","80,738",,"2,593","2,663","2,715","2,747","2,788","2,835","2,870","2,912","2,945","2,981","3,013","3,042","3,070","3,120",,"30,018","39,072","44,529","52,227","55,510","58,716"
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,1,1,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Croatia,0,1,2,3,4,5,6,7,8,9,10,10,12,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
