Country,Mar. 07 cases,Mar. 09 cases,Mar. 11 cases,Mar. 13 cases,Mar. 14 cases,Mar. 15 cases,Mar. 16 cases,Mar. 17 cases,Mar. 18 cases,Mar. 19 cases,Mar. 20 cases,Mar. 21 cases,Mar. 22 cases,Mar. 23 cases,Mar. 24 cases,Mar. 25 cases,Mar. 26 cases,Mar. 27 cases,Mar. 28 cases,Mar. 29 cases,Mar. 30 cases,,T.D. Mar. 07,T.D. Mar. 09,T.D. Mar. 11,T.D. Mar. 14,T.D. Mar. 15,T.D. Mar. 16,T.D. Mar. 17,T.D. Mar. 18,T.D. Mar. 19,T.D. Mar. 20,T.D. Mar. 21,T.D. Mar. 22,T.D. Mar. 23,T.D. Mar. 24,T.D. Mar. 25,T.D. Mar. 26,T.D. Mar. 27,T.D. Mar. 28,T.D. Mar. 29,T.D. Mar. 30,,T.Recov. Mar. 07,T.Recov. Mar. 09,T.Recov. Mar. 11,T.Recov. Mar. 14,T.Recov. Mar. 15,T.Recov. Mar. 16,T.Recov. Mar. 17,T.Recov. Mar. 19,T.Recov. Mar. 20,T.Recov. Mar. 21,T.Recov. Mar. 22,T.Recov. Mar. 23,T.Recov. Mar. 24,T.Recov. Mar. 25,T.Recov. Mar. 26,T.Recov. Mar. 27,T.Recov. Mar. 28,T.Recov. Mar. 29
Afghanistan,1,4,7,7,10,16,21,22,22,22,24,24,24,40,42,74,84,94,110,110,120,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,4,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Albania,0,2,12,23,33,38,42,55,59,64,70,76,76,89,123,146,174,174,186,212,223,,0,0,1,1,1,1,1,2,2,2,2,2,4,5,5,6,8,8,10,11,,0,0,0,0,0,0,0,0,0,2,2,2,10,17,17,17,31,33
Algeria,19,20,20,26,27,45,54,60,72,82,90,95,139,201,230,264,302,367,409,454,511,,0,0,0,2,3,4,5,6,8,10,11,15,17,17,19,21,25,26,29,31,,0,0,0,10,10,10,10,32,32,32,65,65,65,65,65,29,29,31
Andorra,1,1,1,1,1,1,5,14,39,53,75,88,88,113,164,164,188,224,267,308,334,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,6,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Angola,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,4,4,5,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,8,12,19,31,34,45,56,65,79,97,128,158,225,266,301,387,502,589,690,745,820,,0,1,1,2,2,2,2,2,3,3,3,4,4,4,6,8,12,17,19,20,,0,0,0,0,0,3,3,3,3,3,27,27,51,52,52,72,72,72
Armenia,1,1,1,6,15,20,30,64,84,122,136,160,190,194,235,265,290,329,372,424,482,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,,0,0,0,0,0,1,1,1,1,1,2,2,2,16,18,18,28,30
Aurba,0,0,0,0,2,2,2,3,4,4,5,5,8,9,12,17,19,28,33,46,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Australia,64,93,127,160,226,299,375,452,565,709,876,"1,068","1,286","1,709","2,144","2,423","2,799","3,166","3,635","3,969","4,245",,2,3,3,3,5,5,5,6,6,7,7,7,7,8,9,13,13,14,16,18,,22,22,24,26,27,27,43,46,46,46,46,88,118,118,170,170,170,226
Austria,74,112,206,428,602,800,959,"1,211","1,471","1,843","2,203","2,719","3,024","3,806","4,829","5,494","6,001","7,129","7,712","8,411","9,200",,0,0,0,1,1,2,3,3,5,6,7,8,16,25,30,42,58,58,86,108,,2,2,4,6,6,6,9,9,9,9,9,9,9,9,112,225,225,479
Azerbaijan,9,9,11,15,15,19,25,28,34,34,44,44,53,65,72,87,93,122,165,182,209,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,,0,0,3,3,6,6,6,7,7,7,11,11,10,10,10,15,15,15
Bahamas,0,0,0,0,0,0,1,1,1,3,3,4,4,4,4,5,5,9,10,10,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Bahrain,60,85,189,197,210,212,221,236,255,268,284,305,310,339,390,419,419,458,473,476,515,,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,,4,14,30,44,60,77,88,100,110,125,125,160,164,177,190,210,254,265
Bangladesh,0,3,3,3,3,5,8,10,14,18,20,24,24,33,39,39,44,48,48,48,49,,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,5,5,5,5,5,,0,0,0,2,2,2,3,3,3,3,3,5,5,7,11,11,15,15
Barbados,0,0,0,0,0,0,0,0,2,2,5,6,14,17,17,18,18,24,26,26,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,6,6,9,21,27,27,36,36,51,51,69,69,76,81,81,86,86,86,94,94,94,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,3,3,3,5,5,15,15,15,22,22,29,29,29,32,32
Belgium,109,200,314,399,559,886,886,"1,243","1,486","1,795","2,257","2,815","2,815","3,743","4,269","4,937","6,235","6,235","7,284","10,836","11,899",,0,0,1,3,4,4,10,14,21,37,67,67,88,122,178,220,220,289,431,513, ,1,1,1,1,1,1,31,31,204,263,263,350,461,547,675,675,858,"1,359"
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,1,1,2,2,2,2,2,6,6,6,6,6,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,2,2,2,2,6,6,6,7,15,17,17,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
