Country,Mar. 29 cases,Mar. 30 cases,,T.D. Mar. 29,T.D. Mar. 30,,T.Recov. Mar. 29,T.Recov. Mar. 30
Afghanistan,110,120,,4,4,,2,2
Albania,212,223,,10,11,,33,44
Algeria,454,511,,29,31,,31,31
Andorra,308,334,,3,6,,1,6
Angola,5,7,,0,2,,0,0
Anguilla,2,2,,0,0,,0,0
Antigua and Barbuda,7,7,,0,0,,0,0
Argentina,745,820,,19,22,,72,91
Armenia,424,482,,3,3,,30,30
Aurba,46,50,,0,0,,1,1
Australia,"3,969","4,245",,16,18,,226,244
Austria,"8,411","9,377",,86,108,,479,636
Azerbaijan,182,273,,4,4,,15,26
Bahamas,10,14,,0,0,,1,1
Bahrain,476,515,,4,4,,265,279
Bangladesh,48,49,,5,5,,15,19
Barbados,26,33,,0,0,,0,0
Belarus,94,152,,0,0,,32,32
Belgium,"10,836","11,899",,431,513, ,"1,359","1,527"
Belize,2,2,,0,0,,0,0
Benin,6,6,,0,0,,0,0
Bermuda,17,22,,0,0,,2,2
Bhutan,4,4,,0,0,,0,0
Bolivia,81,96,,0,3,,0,0
Bosnia and Herzegovina,323,354,,6,8,,8,17
Brazil,"3,904","4,316",,114,139,,6,120
British Virgin Islands,2,2,,0,0,,0,0
Brunei,126,127,,1,1,,34,38
Bulgaria,338,354,,8,8,,11,15
Burkina Faso,207,222,,11,12,,21,23
Cabo Verde,6,6,,1,1,,0,0
Cambodia,103,107,,0,0,,21,21
Cameroon,91,139,,2,6,,2,5
Canada,"5,655","6,320",,60,65,,508,573
CAR,3,3,,0,0,,0,0
Cayman Islands,8,12,,1,1,,0,0
Chad,3,3,,0,0,,0,0
Channel Islands,100,141,,1,2,,0,0
Chile,"1,909","2,449",,6,8,,61,156
China,"81,439","81,470",,"3,300","3,304",,"75,448","75,700"
Colombia,608,702,,6,10,,10,10
Congo,4,19,,0,0,,0,0
Costa Rica,295,314,,2,2,,3,3
Croatia,657,790,,5,6,,45,67
Cuba,119,139,,3,3,,4,4
Curaçao,8,8,,1,1,,2,2
Cyprus,179,214,,5,6,,15,15
Czechia,"2,669","2,878",,13,17, ,11,11
Denmark,"2,201","2,555",,65,77,,1,1
Diamond Princess,712,712,,10,10,,597,603
Djibouti,14,18,,0,0,,0,0
Dominica,11,11,,0,0,,0,0
Dominican Repblic,719,859,,28,39,,3,3
DRC,65,81,,6,8,,2,2
Ecuador,"1,823","1,924",,48,58,,3,3
Egypt,576,609,,36,40,,121,132
El Salvador,24,30,,0,0,,0,0
Equatorial Guinea,12,12,,0,0,,0,0
Eritrea,6,12,,0,0,,0,0
Estonia,679,715,,3,3,,20,20
Eswatini,9,9,,0,0,,0,0
Ethiopia,19,23,,0,0,,1,1
Faeroe Island,159,168,,0,0,,70,70
Fiji,5,5,,0,0,,0,0
Finland,"1,221","1,352",,9,13,,10,10
France,"37,575","40,174",,"2,314","2,606",,"5,700","7,202"
French Guiana,28,43,,0,0,,6,6
French Polynesia,30,35,,0,0,,0,0
Gabon,7,7,,1,1,,0,0
Gambia,3,4,,1,1,,0,0
Georgia,90,98,,0,0,,18,18
Germany,"58,247","63,079",,455,545,,"8,481","9,211"
Ghana,141,152,,5,5,,2,2
Gibraltar,56,65,,0,0,,14,14
Greece,"1,061","1,156",,32,39,,52,52
Greenland,10,10,,0,0,,2,2
Grenada,9,9,,0,0,,0,0
Guadeloupe,102,106,,2,4,,17,17
Guatemala,34,36,,1,1,,10,10
Guinea,8,16,,0,0,,0,0
Guinea-Bissau,2,2,,0,0,,0,0
Guyana,8,8,,1,1,,0,0
Haiti,15,15,,0,0,,1,1
Honduras,110,139,,1,3,,3,3
Hong Kong,582,642,,4,4,,112,118
Hungary,408,447,,13,15,,34,34
Iceland,963,"1,020",,2,2,,114,135
India,987,"1,071",,25,29,,87,100
Indonesia,"1,285","1,414",,114,122,,64,75
Iran,"38,309","41,495",,"2,640","2,757",,"12,391","13,911"
Iraq,547,547,,42,42,,143,143
Ireland,"2,415","2,615",,36,46,,5,5
Isle of Man,37,46,,0,0,,0,0
Israel,"3,865","4,347",,13,16,,89,134
Italy,"92,472","97,689",,"10,023","10,779",,"12,384","13,030"
Ivory Cost,140,165,,0,1,,3,4
Jamaica,32,34,,1,1,,2,2
Japan,"1,693","1,866",,52,54,,404,424
Jordon,246,259,,1,4,,18,18
Kazakhstan,251,302,,1,1,,18,21
Kenya,38,50,,1,1,,1,1
Kuwait,255,266,,0,0,,67,72
Kyrgyzstan,84,94,,0,0,,0,0
Laos,8,8,,0,0,,0,0
Latvia,347,376,,0,0,,1,1
Lebanon,438,446,,10,11,,30,32
Liberia,3,3,,0,0,,0,0
Libya,3,8,,0,0,,0,0
Liechtenstein,56,62,,0,0,,0,0
Lituania,437,484,,7,7,,1,1
Luxembourg,"1,831","1,988",,18,22,,40,40
Macao,34,38,,0,0,,10,10
Madagascar,39,39,,0,0,,0,0
Malaysia,"2,470","2,626",,34,37,,388,479
Maldives,17,17,,0,0,,11,13
Mali,18,25,,1,2,,0,0
Malta,149,156,,0,0,,2,2
Martinique,93,93,,1,1,,0,0
Mauritania,5,5,,0,0,,0,2
Mauritus,102,110,,2,3,,0,0
Mayotte,63,82,,0,0,,0,10
Mexico,848,993,,16,20,,4,35
Moldova,231,263,,2,2,,2,13
Monaco,43,46,,1,1,,1,1
Mongolia,12,12,,0,0,,0,2
Montenegro,84,91,,1,1,,0,0
Montserrat,5,5,,0,0,,0,0
Morocco,437,516,,26,29,,12,14
Mozambique,8,8,,0,0,,0,0
MS Zaandam,2,2,,0,0,,0,0
Myanmar,8,14,,0,0,,0,0
Namibia,11,11,,0,0,,2,2
Nepal,5,5,,0,0,,1,1
Netherlands,"9,762","11,750",,639,864,,3,250
New Caledonia,15,15,,0,0,,0,0
New Zealand,514,589,,1,1,,56,63
Nicaragua,4,4,,1,1,,0,0
Niger,18,22,,1,3,,0,0
Nigeria,97,111,,1,1,,3,3
North Macedonia,241,285,,4,7,,3,12
Norway,"4,054","4,393",,23,31,,7,12
Oman,167,179,,0,0,,23,29
Pakistan,"1,526","1,650",,13,20,,29,29
Palestine,106,115,,1,1,,18,18
Panama,901,989,,17,24,,4,4
Papua New Guinea,1,1,,0,0,,0,0
Paraguay,56,64,,3,3,,1,1
Peru,671,852,,16,18,,16,16
Phlippeans,"1,418","1,546",,71,78,,42,42
Poland,"1,717","1,984",,19,26,,7,7
Portugal,"5,170","6,408",,100,140,,43,43
Qatar,590,634,,1,1,,45,48
Réunion,183,183,,0,0,,1,1
Romania,"1,760","1,952",,38,46,,169,206
Russia,"1,534","1,836",,8,9,,64,66
Rwanda,60,70,,0,0,,0,0
S. Korea,"9,583","9,661",,152,158,,"5,033","5,228"
Saint Kitts and Nevis,2,7,,0,0,,0,0
Saint Lucia,3,9,,0,0,,1,1
Saint Martin,11,15,,0,1,,0,2
San Marino,224,230,,22,25,,6,13
Saudi Arabia,"1,203","1,453",,4,8,,37,66
Senegal,142,162,,0,0,,27,27
Serbia,659,785,,11,15,,42,42
Seychelles,8,8,,0,0,,0,0
Singapore,802,879,,3,3,,198,228
Sint Maarten,3,6,,0,0,,0,0
Slovakia,314,336,,0,0,,2,7
Slovenia,730,756,,11,11,,10,10
Somalia,3,3,,0,0,,0,0
South Africa,"1,187","1,280",,1,2,,31,31
Spain (COVID-19 virus),"78,797","85,195",,"6,528","7,340",,"14,709","16,780"
Sri Lanka,115,122,,1,1,,10,15
St. Barth,5,5,,0,0,,0,0
St. Vincent Grenadines,1,1,,0,0,,1,1
Sudan,5,6,,1,2,,0,0
Suriname,8,8,,0,0,,0,0
Sweeden,"3,447","4,028",,105,146,,16,16
Switzerland,"14,352","15,526",,282,333,,"1,595","1,823"
Syria,5,9,,0,1,,0,0
Taiwan,298,306,,2,5,,30,39
Tanzania,14,19,,0,0,,1,1
Thailand,"1,388","1,524",,7,9,,97,229
Timor-Leste,1,1,,0,0,,0,0
Togo,25,30,,1,1,,1,1
Trinidad and Tobago,76,78,,3,3,,1,1
Tunisia,278,312,,8,8,,2,2
Turkey,"7,402","9,217",,108,131,,70,105
